product_name,beverage_type,volume_ml,pack_type,pack_size,image_url
Heineken 330ml Bottles,Beer,330,Glass Bottle,24,https://www.inn-express.com/images/ww/product/592.jpg
Coca-Cola Cans 330ml,Cola,330,Can,24,https://www.inn-express.com/images/ww/product/1300.jpg
Pepsi Max Cans 330ml,Cola,330,Can,24,https://www.inn-express.com/images/ww/product/1282.jpg
Red Bull 250ml x24,Energy Drink,250,Can,24,https://www.inn-express.com/images/ww/product/1294.jpg
San Pellegrino Sparkling Water 500ml,Sparkling Water,500,Plastic Bottle,12,https://www.inn-express.com/images/ww/product/18151.jpg
Monster Export Green 500ml,Energy Drink,500,Can,12,https://www.inn-express.com/images/ww/product/18021.jpg
